City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,dickinson,29.4608,-95.0513,23.34,49,0,3.09,US,1697565255
189,bawku,11.0616,-0.2417,30.7,50,98,2.85,GH,1697565256
190,mazagao,-0.115,-51.2894,35.03,36,40,2.28,BR,1697565251
191,jamestown,42.097,-79.2353,11.12,90,100,3.09,US,1697565227
192,karratha,-20.7377,116.8463,27.43,30,0,3.24,AU,1697565228
193,lagos,6.5833,3.75,23.9,94,100,1.29,NG,1697564987
194,mombetsu,44.3525,143.3525,10.24,77,74,7.1,JP,1697565256
195,rostovka,55.3842,71.8891,9.74,73,19,3.29,RU,1697565257
196,aykhal,66.0,111.5,-7.74,98,88,2.24,RU,1697565257
197,hithadhoo,-0.6,73.0833,27.34,78,24,6.3,MV,1697565257
198,port alfred,-33.5906,26.891,17.88,84,1,2.24,ZA,1697565257
199,gantang,26.92,119.6333,15.99,92,4,1.62,CN,1697565258
200,atafu village,-8.5421,-172.5159,28.37,76,70,5.23,TK,1697565251
201,kone,-21.0595,164.8658,21.76,97,100,1.93,NC,1697564964
202,la ronge,55.1001,-105.2842,13.12,71,75,2.06,CA,1697565258
203,andergrove,-21.0833,149.1833,22.51,86,51,9.81,AU,1697565259
204,kyren,51.6828,102.1408,6.08,51,100,1.34,RU,1697565259
205,kabare,-2.4683,28.8242,17.7,92,57,1.58,CD,1697565259
206,ankang,32.68,109.0172,18.82,77,97,0.98,CN,1697565259
207,labrador city,52.9463,-66.9114,6.95,61,100,2.57,CA,1697565260
208,barentu,15.1139,37.5928,26.79,51,82,2.16,ER,1697565113
209,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,3.6,EC,1697565260
210,inhambane,-23.865,35.3833,20.0,100,75,1.54,MZ,1697565260
211,tommot,58.9564,126.2925,-0.83,97,100,2.15,RU,1697565260
212,fort st. john,56.2499,-120.8529,6.94,100,75,2.06,CA,1697565243
213,enewetak,11.3474,162.3373,28.73,74,49,6.31,MH,1697565261
214,dhidhdhoo,6.8833,73.1,28.34,74,30,3.7,MV,1697565261
215,hilo,19.7297,-155.09,28.49,70,0,3.6,US,1697565261
216,san roque,36.2107,-5.3842,24.46,69,20,4.12,ES,1697565262
217,troitsko-pechorsk,62.7084,56.1964,8.16,76,100,4.02,RU,1697565262
218,nilsia,63.2,28.0833,1.18,87,100,3.01,FI,1697565262
219,puerto aysen,-45.4,-72.7,13.21,89,89,0.68,CL,1697565262
220,alta,69.9689,23.2717,-3.23,83,40,1.54,NO,1697565263
221,savanna-la-mar,18.219,-78.1332,31.07,62,46,2.19,JM,1697565263
222,kuusamo,65.9667,29.1833,0.02,80,75,3.09,FI,1697565263
223,kavaratti,10.5669,72.642,28.41,70,92,1.23,IN,1697565263
